rank,iso6393,iso6391,languageLabel,defaultScript,defaultScriptName,orthographyId,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,verificationStatus
22,san,sa,Sanskrit,Deva,Devanagari,san-sidd,Sidd,Siddham,secondary,wikidata-writing-system,needs-review,needs-review
22,san,sa,Sanskrit,Deva,Devanagari,san-soyo,Soyo,Soyombo,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
22,san,sa,Sanskrit,Deva,Devanagari,san-thai,Thai,Thai,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
23,ces,cs,Czech,Latn,Latin,ces-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
24,cat,ca,Catalan,Latn,Latin,cat-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
25,dan,da,Danish,Latn,Latin,dan-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
26,ron,ro,Romanian,Latn,Latin,ron-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
26,ron,ro,Romanian,Latn,Latin,ron-cyrl,Cyrl,Cyrillic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
27,swa,sw,Swahili,Latn,Latin,swa-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
28,hun,hu,Hungarian,Latn,Latin,hun-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
28,hun,hu,Hungarian,Latn,Latin,hun-hung,Hung,Old Hungarian,secondary,wikidata-writing-system,needs-review,needs-review
29,syl,,Sylheti,Beng,Bangla,syl-beng,Beng,Bangla,primary,cldr-default+wikidata,needs-review,needs-review
29,syl,,Sylheti,Beng,Bangla,syl-deva,Deva,Devanagari,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
29,syl,,Sylheti,Beng,Bangla,syl-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
29,syl,,Sylheti,Beng,Bangla,syl-sylo,Sylo,Syloti Nagri,secondary,wikidata-writing-system,needs-review,needs-review
30,hrv,hr,Croatian,Latn,Latin,hrv-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
31,nor,no,Norwegian,Latn,Latin,nor-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
32,ben,bn,Bangla,Beng,Bangla,ben-beng,Beng,Bangla,primary,cldr-default,needs-review,needs-review
33,aze,az,Azerbaijani,Latn,Latin,aze-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
33,aze,az,Azerbaijani,Latn,Latin,aze-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
33,aze,az,Azerbaijani,Latn,Latin,aze-cyrl,Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
34,afr,af,Afrikaans,Latn,Latin,afr-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
34,afr,af,Afrikaans,Latn,Latin,afr-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
35,est,et,Estonian,Latn,Latin,est-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
36,bul,bg,Bulgarian,Cyrl,Cyrillic,bul-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
37,gle,ga,Irish,Latn,Latin,gle-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
37,gle,ga,Irish,Latn,Latin,gle-latg,Latg,Gaelic Latin,secondary,wikidata-writing-system,needs-review,needs-review
37,gle,ga,Irish,Latn,Latin,gle-ogam,Ogam,Ogham,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
38,bel,be,Belarusian,Cyrl,Cyrillic,bel-cyrl,Cyrl,Cyrillic,primary,omniglot-langalph+wws,needs-review,needs-review
38,bel,be,Belarusian,Cyrl,Cyrillic,bel-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
39,ind,id,Indonesian,Latn,Latin,ind-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
40,isl,is,Icelandic,Latn,Latin,isl-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
41,lit,lt,Lithuanian,Latn,Latin,lit-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
41,lit,lt,Lithuanian,Latn,Latin,lit-cyrl,Cyrl,Cyrillic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
42,ile,ie,Interlingue,Latn,Latin,ile-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
43,hye,hy,Armenian,Armn,Armenian,hye-armn,Armn,Armenian,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
44,slk,sk,Slovak,Latn,Latin,slk-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
45,tam,ta,Tamil,Taml,Tamil,tam-taml,Taml,Tamil,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
45,tam,ta,Tamil,Taml,Tamil,tam-arab,Arab,Arabic,secondary,wikidata-writing-system,needs-review,needs-review
46,sqi,sq,Albanian,Latn,Latin,sqi-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
46,sqi,sq,Albanian,Latn,Latin,sqi-grek,Grek,Greek,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
47,eus,eu,Basque,Latn,Latin,eus-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
48,kat,ka,Georgian,Geor,Georgian,kat-geor,Geor,Georgian,primary,omniglot-langalph+wws,needs-review,needs-review
49,srp,sr,Serbian,Cyrl,Cyrillic,srp-cyrl,Cyrl,Cyrillic,primary,omniglot-langalph+wws,needs-review,needs-review
50,lav,lv,Latvian,Latn,Latin,lav-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
51,tha,th,Thai,Thai,Thai,tha-thai,Thai,Thai,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
52,slv,sl,Slovene,Latn,Latin,slv-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
53,vie,vi,Vietnamese,Latn,Latin,vie-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
53,vie,vi,Vietnamese,Latn,Latin,vie-hani,Hani,Chinese characters,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
54,oci,oc,Occitan,Latn,Latin,oci-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
55,kaz,kk,Kazakh,Cyrl,Cyrillic,kaz-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
55,kaz,kk,Kazakh,Cyrl,Cyrillic,kaz-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
55,kaz,kk,Kazakh,Cyrl,Cyrillic,kaz-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
56,cym,cy,Welsh,Latn,Latin,cym-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
56,cym,cy,Welsh,Latn,Latin,cym-ogam,Ogam,Ogham,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
57,msa,ms,Malay,Latn,Latin,msa-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
57,msa,ms,Malay,Latn,Latin,msa-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
58,ina,ia,Q35934,Latn,Latin,ina-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
59,yid,yi,Yiddish,Hebr,Hebrew,yid-hebr,Hebr,Hebrew,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
60,mkd,mk,Macedonian,Cyrl,Cyrillic,mkd-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
61,grc,,Ancient Greek,Grek,Greek,grc-grek,Grek,Greek,primary,cldr-default+wikidata,needs-review,needs-review
61,grc,,Ancient Greek,Grek,Greek,grc-linb,Linb,Linear B,secondary,wikidata-writing-system,needs-review,needs-review
62,kur,ku,Kurdish,Latn,Latin,kur-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
62,kur,ku,Kurdish,Latn,Latin,kur-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
62,kur,ku,Kurdish,Latn,Latin,kur-cyrl,Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
63,lfn,,Lingua Franca Nova,Latn,Latin,lfn-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
63,lfn,,Lingua Franca Nova,Latn,Latin,lfn-cyrl,Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
64,mon,mn,Mongolian,Cyrl,Cyrillic,mon-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
64,mon,mn,Mongolian,Cyrl,Cyrillic,mon-mong,Mong,Mongolian,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
64,mon,mn,Mongolian,Cyrl,Cyrillic,mon-phag,Phag,ʼPhags-pa,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
64,mon,mn,Mongolian,Cyrl,Cyrillic,mon-soyo,Soyo,Soyombo,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
65,ido,io,Ido,Latn,Latin,ido-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
66,glg,gl,Galician,Latn,Latin,glg-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
67,tel,te,Telugu,Telu,Telugu,tel-telu,Telu,Telugu,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
68,mlt,mt,Maltese,Latn,Latin,mlt-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
69,pus,ps,Pashto,Arab,Arabic,pus-arab,Arab,Arabic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
70,tat,tt,Tatar,Cyrl,Cyrillic,tat-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
70,tat,tt,Tatar,Cyrl,Cyrillic,tat-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
71,pan,pa,Punjabi,Guru,Gurmukhi,pan-guru,Guru,Gurmukhi,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
71,pan,pa,Punjabi,Guru,Gurmukhi,pan-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
72,uzb,uz,Uzbek,Latn,Latin,uzb-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
72,uzb,uz,Uzbek,Latn,Latin,uzb-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
72,uzb,uz,Uzbek,Latn,Latin,uzb-cyrl,Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
73,ltz,lb,Luxembourgish,Latn,Latin,ltz-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
74,nep,ne,Nepali,Deva,Devanagari,nep-deva,Deva,Devanagari,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
75,gla,gd,Scottish Gaelic,Latn,Latin,gla-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
76,bre,br,Breton,Latn,Latin,bre-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
77,kir,ky,Kyrgyz,Cyrl,Cyrillic,kir-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
77,kir,ky,Kyrgyz,Cyrl,Cyrillic,kir-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
78,fao,fo,Faroese,Latn,Latin,fao-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
79,amh,am,Q28244,Ethi,Ethiopic,amh-ethi,Ethi,Ethiopic,primary,cldr-default+wikidata,needs-review,needs-review
80,kan,kn,Kannada,Knda,Kannada,kan-knda,Knda,Kannada,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
81,mar,mr,Marathi,Deva,Devanagari,mar-deva,Deva,Devanagari,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
81,mar,mr,Marathi,Deva,Devanagari,mar-modi,Modi,Modi,secondary,wikidata-writing-system,needs-review,needs-review
82,tgl,tl,Tagalog,Latn,Latin,tgl-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
82,tgl,tl,Tagalog,Latn,Latin,tgl-tglg,Tglg,Baybayin,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
83,roh,rm,Romansh,Latn,Latin,roh-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
84,bak,ba,Bashkir,Cyrl,Cyrillic,bak-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
84,bak,ba,Bashkir,Cyrl,Cyrillic,bak-arab,Arab,Arabic,secondary,wikidata-writing-system,needs-review,needs-review
85,mal,ml,Malayalam,Mlym,Malayalam,mal-mlym,Mlym,Malayalam,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
86,mya,my,Burmese,Mymr,Myanmar,mya-mymr,Mymr,Myanmar,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
87,que,qu,Quechua,Latn,Latin,que-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
88,jav,jv,Javanese,Latn,Latin,jav-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
88,jav,jv,Javanese,Latn,Latin,jav-java,Java,Javanese,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
88,jav,jv,Javanese,Latn,Latin,jav-kawi,Kawi,Kawi,secondary,wikidata-writing-system,needs-review,needs-review
89,uig,ug,Uyghur,Arab,Arabic,uig-arab,Arab,Arabic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
89,uig,ug,Uyghur,Arab,Arabic,uig-cyrl,Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
89,uig,ug,Uyghur,Arab,Arabic,uig-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
90,mri,mi,Māori,Latn,Latin,mri-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
91,tgk,tg,Tajik,Cyrl,Cyrillic,tgk-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
91,tgk,tg,Tajik,Cyrl,Cyrillic,tgk-hebr,Hebr,Hebrew,secondary,wikidata-writing-system,needs-review,needs-review
91,tgk,tg,Tajik,Cyrl,Cyrillic,tgk-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
92,tuk,tk,Turkmen,Latn,Latin,tuk-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
92,tuk,tk,Turkmen,Latn,Latin,tuk-cyrl,Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
93,abk,ab,Abkhaz,Cyrl,Cyrillic,abk-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
93,abk,ab,Abkhaz,Cyrl,Cyrillic,abk-geor,Geor,Georgian,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
94,guj,gu,Gujarati,Gujr,Gujarati,guj-gujr,Gujr,Gujarati,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
95,szl,,Silesian,Latn,Latin,szl-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
96,khm,km,Khmer,Khmr,Khmer,khm-khmr,Khmr,Khmer,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
97,zul,zu,Zulu,Latn,Latin,zul-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
98,bod,bo,Tibetan,Tibt,Tibetan,bod-tibt,Tibt,Tibetan,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
98,bod,bo,Tibetan,Tibt,Tibetan,bod-phag,Phag,ʼPhags-pa,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
98,bod,bo,Tibetan,Tibt,Tibetan,bod-soyo,Soyo,Soyombo,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
99,che,ce,Chechen,Cyrl,Cyrillic,che-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
99,che,ce,Chechen,Cyrl,Cyrillic,che-arab,Arab,Arabic,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
99,che,ce,Chechen,Cyrl,Cyrillic,che-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
100,zza,,Zazaki,Latn,Latin,zza-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
101,asm,as,Assamese,Beng,Bangla,asm-beng,Beng,Bangla,primary,cldr-default,needs-review,needs-review
102,cor,kw,Cornish,Latn,Latin,cor-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
103,chv,cv,Chuvash,Cyrl,Cyrillic,chv-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
104,haw,,Hawaiian,Latn,Latin,haw-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
105,sco,,Scots,Latn,Latin,sco-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
106,vol,vo,Volapük,Latn,Latin,vol-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
107,hbs,sh,Serbo-Croatian,Cyrl,Cyrillic,hbs-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,needs-review
107,hbs,sh,Serbo-Croatian,Cyrl,Cyrillic,hbs-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
108,hau,ha,Hausa,Latn,Latin,hau-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
108,hau,ha,Hausa,Latn,Latin,hau-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
109,grn,gn,Guarani,Latn,Latin,grn-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
110,som,so,Somali,Latn,Latin,som-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
110,som,so,Somali,Latn,Latin,som-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
110,som,so,Somali,Latn,Latin,som-osma,Osma,Osmanya,secondary,wikidata-writing-system,needs-review,needs-review
111,mlg,mg,Malagasy,Latn,Latin,mlg-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
112,srd,sc,Sardinian,Latn,Latin,srd-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
113,ory,or,Odia,Orya,Odia,ory-orya,Orya,Odia,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
114,glv,gv,Manx,Latn,Latin,glv-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
115,arg,an,Aragonese,Latn,Latin,arg-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
116,crh,,Crimean Tatar,Cyrl,Cyrillic,crh-cyrl,Cyrl,Cyrillic,primary,omniglot-langalph+wws,needs-review,needs-review
116,crh,,Crimean Tatar,Cyrl,Cyrillic,crh-arab,Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
116,crh,,Crimean Tatar,Cyrl,Cyrillic,crh-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
117,lao,lo,Lao,Laoo,Lao,lao-laoo,Laoo,Lao,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
118,sah,,Yakut,Cyrl,Cyrillic,sah-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
119,cop,,Coptic,Copt,Coptic,cop-copt,Copt,Coptic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
120,pli,pi,Pali,Latn,Latin,pli-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
120,pli,pi,Pali,Latn,Latin,pli-brah,Brah,Brahmi,secondary,wikidata-writing-system,needs-review,needs-review
120,pli,pi,Pali,Latn,Latin,pli-deva,Deva,Devanagari,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
120,pli,pi,Pali,Latn,Latin,pli-laoo,Laoo,Lao,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
120,pli,pi,Pali,Latn,Latin,pli-mymr,Mymr,Mon–Burmese script,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
120,pli,pi,Pali,Latn,Latin,pli-thai,Thai,Thai,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
121,xho,xh,Xhosa,Latn,Latin,xho-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
122,csb,,Kashubian,Latn,Latin,csb-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
123,arn,,Mapudungun,Latn,Latin,arn-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
124,sin,si,Sinhala,Sinh,Sinhala,sin-sinh,Sinh,Sinhala,primary,cldr-default+wikidata,needs-review,needs-review
125,ang,,Old English,Latn,Latin,ang-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
126,kas,ks,Kashmiri,Arab,Arabic,kas-arab,Arab,Arabic,primary,omniglot-langalph+wws,needs-review,needs-review
126,kas,ks,Kashmiri,Arab,Arabic,kas-deva,Deva,Devanagari,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
126,kas,ks,Kashmiri,Arab,Arabic,kas-shrd,Shrd,Sharada,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
127,got,,Gothic,Goth,Gothic,got-goth,Goth,Gothic,primary,cldr-default+wikidata,needs-review,needs-review
127,got,,Gothic,Goth,Gothic,got-runr,Runr,Runic,secondary,wikidata-writing-system,needs-review,needs-review
128,egy,,Egyptian,Egyp,Egyptian hieroglyphs,egy-egyp,Egyp,Egyptian hieroglyphs,primary,cldr-default+wikidata,needs-review,needs-review
128,egy,,Egyptian,Egyp,Egyptian hieroglyphs,egy-copt,Copt,Coptic,secondary,wikidata-writing-system,needs-review,needs-review
128,egy,,Egyptian,Egyp,Egyptian hieroglyphs,egy-egyd,Egyd,Egyptian demotic,secondary,wikidata-writing-system,needs-review,needs-review
128,egy,,Egyptian,Egyp,Egyptian hieroglyphs,egy-egyh,Egyh,Egyptian hieratic,secondary,wikidata-writing-system,needs-review,needs-review
129,rom,,Romani,Latn,Latin,rom-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
129,rom,,Romani,Latn,Latin,rom-cyrl,Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,needs-review
129,rom,,Romani,Latn,Latin,rom-deva,Deva,Devanagari,secondary,wikidata-writing-system,needs-review,needs-review
130,snd,sd,Sindhi,Arab,Arabic,snd-arab,Arab,Arabic,primary,omniglot-langalph+wws,needs-review,needs-review
130,snd,sd,Sindhi,Arab,Arabic,snd-deva,Deva,Devanagari,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
130,snd,sd,Sindhi,Arab,Arabic,snd-gujr,Gujr,Gujarati,secondary,wikidata-writing-system,needs-review,needs-review
130,snd,sd,Sindhi,Arab,Arabic,snd-guru,Guru,Gurmukhi,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
130,snd,sd,Sindhi,Arab,Arabic,snd-khoj,Khoj,Khojki,secondary,wikidata-writing-system,needs-review,needs-review
130,snd,sd,Sindhi,Arab,Arabic,snd-sind,Sind,Khudawadi,secondary,wikidata-writing-system,needs-review,needs-review
131,cos,co,Corsican,Latn,Latin,cos-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
132,ceb,,Cebuano,Latn,Latin,ceb-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
133,nds,,Low German,Latn,Latin,nds-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
134,aym,ay,Aymara,Latn,Latin,aym-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
135,scn,,Sicilian,Latn,Latin,scn-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
136,ast,,Asturian,Latn,Latin,ast-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
137,dzo,dz,Dzongkha,Tibt,Tibetan,dzo-tibt,Tibt,Tibetan,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
138,tok,,Toki Pona,Latn,Latin,tok-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
139,kal,kl,Greenlandic,Latn,Latin,kal-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
140,ava,av,Avar,Cyrl,Cyrillic,ava-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
141,sun,su,Sundanese,Latn,Latin,sun-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
141,sun,su,Sundanese,Latn,Latin,sun-sund,Sund,Sundanese,secondary,wikidata-writing-system,needs-review,needs-review
142,wln,wa,Walloon,Latn,Latin,wln-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
143,cnr,,Montenegrin,Cyrl,Cyrillic,cnr-cyrl,Cyrl,Cyrillic,primary,omniglot-langalph+wws,needs-review,pending-manual-review
144,prs,,Dari,Arab,Arabic,prs-arab,Arab,Arabic,primary,omniglot-langalph+wws,needs-review,pending-manual-review
145,nap,,Neapolitan,Latn,Latin,nap-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
146,tir,ti,Tigrinya,Ethi,Ethiopic,tir-ethi,Ethi,Ethiopic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
147,ain,,Ainu,Kana,Katakana,ain-kana,Kana,Katakana,primary,cldr-default,needs-review,needs-review
147,ain,,Ainu,Kana,Katakana,ain-jpan,Jpan,Japanese,secondary,omniglot-langalph,needs-review,pending-manual-review
147,ain,,Ainu,Kana,Katakana,ain-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
148,udm,,Udmurt,Cyrl,Cyrillic,udm-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
149,akk,,Akkadian,Xsux,Sumero-Akkadian Cuneiform,akk-xsux,Xsux,Sumero-Akkadian Cuneiform,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
150,gag,,Gagauz,Latn,Latin,gag-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
150,gag,,Gagauz,Latn,Latin,gag-cyrl,Cyrl,Cyrillic,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
150,gag,,Gagauz,Latn,Latin,gag-grek,Grek,Greek,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
151,ibo,ig,Igbo,Latn,Latin,ibo-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
152,krl,,Karelian,Latn,Latin,krl-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
152,krl,,Karelian,Latn,Latin,krl-cyrl,Cyrl,Cyrillic,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
153,ave,ae,Avestan,Avst,Avestan,ave-avst,Avst,Avestan,primary,cldr-default+wikidata,needs-review,needs-review
153,ave,ae,Avestan,Avst,Avestan,ave-deva,Deva,Devanagari,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
153,ave,ae,Avestan,Avst,Avestan,ave-gujr,Gujr,Gujarati,secondary,wikidata-writing-system,needs-review,needs-review
154,div,dv,Maldivian,Thaa,Thaana,div-thaa,Thaa,Thaana,primary,cldr-default+wikidata,needs-review,needs-review
154,div,dv,Maldivian,Thaa,Thaana,div-deva,Deva,Devanagari,secondary,omniglot-langalph+wws,needs-review,pending-manual-review
154,div,dv,Maldivian,Thaa,Thaana,div-diak,Diak,Dives Akuru,secondary,wikidata-writing-system,needs-review,needs-review
