rank,iso6393,iso6391,glottocode,qid,languageLabel,sitelinks,defaultScript,defaultScriptName,orthographyId,orthographyLabelEn,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,seedKind,verificationStatus,languageWikipediaUrl,scriptWikipediaUrl,evidenceSources
168,rue,,rusy1239,Q26245,Rusyn,92,Cyrl,Cyrillic,rue-cyrl,Rusyn (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
169,sot,st,sout2807,Q34340,Sesotho,92,Latn,Latin,sot-latn,Sesotho (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
170,hat,ht,hait1244,Q33491,Haitian Creole,92,Latn,Latin,hat-latn,Haitian Creole (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
171,syc,,clas1252,Q33538,Syriac,92,Syrc,Syriac,syc-syrc,Syriac (Syriac),Syrc,Syriac,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
171,syc,,clas1252,Q33538,Syriac,92,Syrc,Syriac,syc-syre,Syriac (Estrangelo Syriac),Syre,Estrangelo Syriac,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
172,kom,kv,komi1267,Q36126,Komi,91,Cyrl,Cyrillic,kom-cyrl,Komi (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
172,kom,kv,komi1267,Q36126,Komi,91,Cyrl,Cyrillic,kom-perm,Komi (Old Permic),Perm,Old Permic,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
173,kin,rw,kiny1244,Q33573,Kinyarwanda,91,Latn,Latin,kin-latn,Kinyarwanda (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
174,hif,,fiji1242,Q46728,Fiji Hindi,91,Deva,Devanagari,hif-deva,Fiji Hindi (Devanagari),Deva,Devanagari,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
175,tpi,,tokp1240,Q34159,Tok Pisin,91,Latn,Latin,tpi-latn,Tok Pisin (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
176,nav,nv,nava1243,Q13310,Navajo,90,Latn,Latin,nav-latn,Navajo (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
177,ton,to,tong1325,Q34094,Tongan,90,Latn,Latin,ton-latn,Tongan (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
178,nob,nb,norw1259,Q25167,Bokmål,90,Latn,Latin,nob-latn,Bokmål (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
179,nno,nn,norw1262,Q25164,Nynorsk,90,Latn,Latin,nno-latn,Nynorsk (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
180,kok,,konk1270,Q34239,Konkani,90,Deva,Devanagari,kok-deva,Konkani (Devanagari),Deva,Devanagari,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Devanagari,omniglot-langalph|worldswritingsystems|wikidata-p282
180,kok,,konk1270,Q34239,Konkani,90,Deva,Devanagari,kok-arab,Konkani (Arabic),Arab,Arabic,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems|wikidata-p282
180,kok,,konk1270,Q34239,Konkani,90,Deva,Devanagari,kok-knda,Konkani (Kannada),Knda,Kannada,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Kannada_alphabet,omniglot-langalph|worldswritingsystems|wikidata-p282
180,kok,,konk1270,Q34239,Konkani,90,Deva,Devanagari,kok-latn,Konkani (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
180,kok,,konk1270,Q34239,Konkani,90,Deva,Devanagari,kok-mlym,Konkani (Malayalam),Mlym,Malayalam,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Malayalam_script,omniglot-langalph|worldswritingsystems|wikidata-p282
181,mai,,mait1250,Q36109,Maithili,90,Deva,Devanagari,mai-deva,Maithili (Devanagari),Deva,Devanagari,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Devanagari,omniglot-langalph|worldswritingsystems|wikidata-p282
181,mai,,mait1250,Q36109,Maithili,90,Deva,Devanagari,mai-kthi,Maithili (Kaithi),Kthi,Kaithi,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
181,mai,,mait1250,Q36109,Maithili,90,Deva,Devanagari,mai-tirh,Maithili (Tirhuta),Tirh,Tirhuta,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
182,mnc,,manc1252,Q33638,Manchu,90,Mong,Mongolian,mnc-mong,Manchu (Mongolian),Mong,Mongolian,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Mongolian_script,omniglot-langalph|worldswritingsystems|wikidata-p282
183,liv,,livv1244,Q33698,Livonian,90,Latn,Latin,liv-latn,Livonian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
184,nov,,novi1234,Q36738,Q36738,90,Latn,Latin,nov-latn,Q36738 (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
185,tsn,tn,tswa1253,Q34137,Tswana,89,Latn,Latin,tsn-latn,Tswana (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
186,vec,,vene1258,Q32724,Venetian,89,Latn,Latin,vec-latn,Venetian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
187,sux,,sume1241,Q36790,Sumerian,89,Xsux,Sumero-Akkadian Cuneiform,sux-xsux,Sumerian (Sumero-Akkadian Cuneiform),Xsux,Sumero-Akkadian Cuneiform,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cuneiform,omniglot-langalph|worldswritingsystems|wikidata-p282
188,hsb,,uppe1395,Q13248,Upper Sorbian,89,Latn,Latin,hsb-latn,Upper Sorbian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
189,lim,li,limb1265,Q102172,Limburgish language,88,Latn,Latin,lim-latn,Limburgish language (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
190,tlh,,klin1234,Q10134,Klingon,88,Piqd,Piqd,tlh-piqd,Klingon (Piqd),Piqd,Piqd,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
191,new,,newa1247,Q33979,Newar,88,Deva,Devanagari,new-deva,Newar (Devanagari),Deva,Devanagari,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Devanagari,omniglot-langalph|worldswritingsystems|wikidata-p282
191,new,,newa1247,Q33979,Newar,88,Deva,Devanagari,new-ranj,Newar (Ranj),Ranj,Ranj,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
192,bua,,buri1258,Q33120,Buryat,88,Cyrl,Cyrillic,bua-cyrl,Buryat (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
192,bua,,buri1258,Q33120,Buryat,88,Cyrl,Cyrillic,bua-latn,Buryat (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
192,bua,,buri1258,Q33120,Buryat,88,Cyrl,Cyrillic,bua-mong,Buryat (Mongolian),Mong,Mongolian,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Mongolian_script,omniglot-langalph|worldswritingsystems|wikidata-p282
193,lld,,ladi1250,Q36202,Ladin,88,Latn,Latin,lld-latn,Ladin (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
194,sme,se,nort2671,Q33947,Northern Sami,87,Latn,Latin,sme-latn,Northern Sami (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
195,ssw,ss,swat1243,Q34014,Swazi,87,Latn,Latin,ssw-latn,Swazi (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
196,aar,aa,afar1241,Q27811,Afar,87,Latn,Latin,aar-latn,Afar (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
196,aar,aa,afar1241,Q27811,Afar,87,Latn,Latin,aar-ethi,Afar (Ethiopic),Ethi,Ethiopic,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
197,lez,,lezg1247,Q31746,Lezgian,87,Cyrl,Cyrillic,lez-cyrl,Lezgian (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
198,bho,,bhoj1244,Q33268,Bhojpuri,87,Deva,Devanagari,bho-deva,Bhojpuri (Devanagari),Deva,Devanagari,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Devanagari,omniglot-langalph|worldswritingsystems|wikidata-p282
198,bho,,bhoj1244,Q33268,Bhojpuri,87,Deva,Devanagari,bho-kthi,Bhojpuri (Kaithi),Kthi,Kaithi,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Kaithi,omniglot-langalph|worldswritingsystems|wikidata-p282
199,kaa,,kara1467,Q33541,Karakalpak,87,Cyrl,Cyrillic,kaa-cyrl,Karakalpak (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
199,kaa,,kara1467,Q33541,Karakalpak,87,Cyrl,Cyrillic,kaa-arab,Karakalpak (Arabic),Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems
199,kaa,,kara1467,Q33541,Karakalpak,87,Cyrl,Cyrillic,kaa-latn,Karakalpak (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
200,dsb,,lowe1385,Q13286,Lower Sorbian,86,Latn,Latin,dsb-latn,Lower Sorbian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
201,mni,,mani1292,Q33868,Meitei,86,Beng,Bangla,mni-beng,Meitei (Bangla),Beng,Bangla,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
201,mni,,mani1292,Q33868,Meitei,86,Beng,Bangla,mni-mtei,Meitei (Meitei Mayek),Mtei,Meitei Mayek,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
202,rup,,arom1237,Q29316,Aromanian,86,Latn,Latin,rup-latn,Aromanian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
202,rup,,arom1237,Q29316,Aromanian,86,Latn,Latin,rup-grek,Aromanian (Greek),Grek,Greek,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Greek_alphabet,omniglot-langalph|worldswritingsystems
203,iku,iu,,Q29921,Inuktitut,86,Cans,Unified Canadian Aboriginal Syllabics,iku-cans,Inuktitut (Unified Canadian Aboriginal Syllabics),Cans,Unified Canadian Aboriginal Syllabics,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Unified_Canadian_Aboriginal_Syllabics_(Unicode_block),omniglot-langalph|worldswritingsystems|wikidata-p282
203,iku,iu,,Q29921,Inuktitut,86,Cans,Unified Canadian Aboriginal Syllabics,iku-latn,Inuktitut (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
204,nau,na,naur1243,Q13307,Nauruan,85,Latn,Latin,nau-latn,Nauruan (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
205,pap,,papi1253,Q33856,Papiamento,85,Latn,Latin,pap-latn,Papiamento (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
206,bar,,bava1246,Q29540,Bavarian,85,Latn,Latin,bar-latn,Bavarian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
207,run,rn,rund1242,Q33583,Kirundi,85,Latn,Latin,run-latn,Kirundi (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
208,krc,,kara1465,Q33714,Karachay-Balkar,85,Cyrl,Cyrillic,krc-cyrl,Karachay-Balkar (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
208,krc,,kara1465,Q33714,Karachay-Balkar,85,Cyrl,Cyrillic,krc-arab,Karachay-Balkar (Arabic),Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems
208,krc,,kara1465,Q33714,Karachay-Balkar,85,Cyrl,Cyrillic,krc-latn,Karachay-Balkar (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
209,tet,,tetu1245,Q34125,Tetum,84,Latn,Latin,tet-latn,Tetum (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
210,vep,,veps1250,Q32747,Veps,84,Latn,Latin,vep-latn,Veps (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
210,vep,,veps1250,Q32747,Veps,84,Latn,Latin,vep-cyrl,Veps (Cyrillic),Cyrl,Cyrillic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems
211,non,,oldn1244,Q35505,Old Norse,84,Runr,Runic,non-runr,Old Norse (Runic),Runr,Runic,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
211,non,,oldn1244,Q35505,Old Norse,84,Runr,Runic,non-latn,Old Norse (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
212,nya,ny,nyan1308,Q33273,Chewa,84,Latn,Latin,nya-latn,Chewa (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
213,chr,,cher1273,Q33388,Cherokee,84,Cher,Cherokee,chr-cher,Cherokee (Cherokee),Cher,Cherokee,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
213,chr,,cher1273,Q33388,Cherokee,84,Cher,Cherokee,chr-latn,Cherokee (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
214,wuu,,wuch1236,Q34290,Wu Chinese,83,Hans,Simplified,wuu-hans,Wu Chinese (Simplified),Hans,Simplified,primary,cldr-default,needs-review,script-derived,needs-review,,,
214,wuu,,wuch1236,Q34290,Wu Chinese,83,Hans,Simplified,wuu-hani,Wu Chinese (Han),Hani,Han,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
215,bam,bm,bamb1269,Q33243,Bambara,83,Latn,Latin,bam-latn,Bambara (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
215,bam,bm,bamb1269,Q33243,Bambara,83,Latn,Latin,bam-nkoo,Bambara (N’Ko),Nkoo,N’Ko,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/N%27Ko_alphabet,omniglot-langalph|worldswritingsystems|wikidata-p282
216,ful,ff,fula1264,Q33454,Fula,83,Latn,Latin,ful-latn,Fula (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
216,ful,ff,fula1264,Q33454,Fula,83,Latn,Latin,ful-adlm,Fula (Adlam),Adlm,Adlam,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
217,inh,,ingu1240,Q33509,Ingush,83,Cyrl,Cyrillic,inh-cyrl,Ingush (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
218,orm,om,nucl1736,Q33864,Oromo,82,Latn,Latin,orm-latn,Oromo (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
218,orm,om,nucl1736,Q33864,Oromo,82,Latn,Latin,orm-ethi,Oromo (Ethiopic),Ethi,Ethiopic,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
219,ban,,bali1278,Q33070,Balinese,82,Latn,Latin,ban-latn,Balinese (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
219,ban,,bali1278,Q33070,Balinese,82,Latn,Latin,ban-bali,Balinese (Balinese),Bali,Balinese,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
220,fij,fj,fiji1243,Q33295,Fijian,82,Latn,Latin,fij-latn,Fijian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
220,fij,fj,fiji1243,Q33295,Fijian,82,Latn,Latin,fij-deva,Fijian (Devanagari),Deva,Devanagari,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
221,chm,,mari1278,Q973685,Mari,81,Cyrl,Cyrillic,chm-cyrl,Mari (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
222,mdf,,moks1248,Q13343,Moksha,81,Cyrl,Cyrillic,mdf-cyrl,Moksha (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
223,sna,sn,shon1251,Q34004,Shona,81,Latn,Latin,sna-latn,Shona (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
224,lij,,ligu1248,Q36106,Ligurian,81,Latn,Latin,lij-latn,Ligurian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
225,min,,mina1268,Q13324,Minangkabau,80,Latn,Latin,min-latn,Minangkabau (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
226,sat,,sant1410,Q33965,Santali,80,Olck,Ol Chiki,sat-olck,Santali (Ol Chiki),Olck,Ol Chiki,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
226,sat,,sant1410,Q33965,Santali,80,Olck,Ol Chiki,sat-beng,Santali (Bangla),Beng,Bangla,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
226,sat,,sant1410,Q33965,Santali,80,Olck,Ol Chiki,sat-deva,Santali (Devanagari),Deva,Devanagari,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Devanagari,omniglot-langalph|worldswritingsystems|wikidata-p282
226,sat,,sant1410,Q33965,Santali,80,Olck,Ol Chiki,sat-latn,Santali (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
226,sat,,sant1410,Q33965,Santali,80,Olck,Ol Chiki,sat-orya,Santali (Odia),Orya,Odia,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Odia_alphabet,omniglot-langalph|worldswritingsystems|wikidata-p282
227,abq,,abaz1241,Q27567,Abaza,80,Cyrl,Cyrillic,abq-cyrl,Abaza (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
228,ewe,ee,ewee1241,Q30005,Ewe,80,Latn,Latin,ewe-latn,Ewe (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
229,bis,bi,bisl1239,Q35452,Bislama,80,Latn,Latin,bis-latn,Bislama (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
230,kbd,,kaba1278,Q33522,Kabardian,80,Cyrl,Cyrillic,kbd-cyrl,Kabardian (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
230,kbd,,kaba1278,Q33522,Kabardian,80,Cyrl,Cyrillic,kbd-arab,Kabardian (Arabic),Arab,Arabic,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
230,kbd,,kaba1278,Q33522,Kabardian,80,Cyrl,Cyrillic,kbd-latn,Kabardian (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
231,nrf,,norm1245,Q33850,Norman,80,Latn,Latin,nrf-latn,Norman (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
232,fry,fy,west2863,Q27175,West Frisian,79,Latn,Latin,fry-latn,West Frisian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
233,arz,,egyp1253,Q29919,Egyptian Arabic,79,Arab,Arabic,arz-arab,Egyptian Arabic (Arabic),Arab,Arabic,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
234,vro,,voro1243,Q32762,Võro,79,Latn,Latin,vro-latn,Võro (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
235,ilo,,ilok1237,Q35936,Ilocano,79,Latn,Latin,ilo-latn,Ilocano (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,https://en.wikipedia.org/wiki/Ilocano_language,,
235,ilo,,ilok1237,Q35936,Ilocano,79,Latn,Latin,ilo-tglg,Ilocano (Tagalog),Tglg,Tagalog,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,https://en.wikipedia.org/wiki/Ilocano_language,https://en.wikipedia.org/wiki/Tagalog_(Unicode_block),omniglot-langalph|worldswritingsystems|wikidata-p282
236,lin,ln,ling1263,Q36217,Lingala,79,Latn,Latin,lin-latn,Lingala (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
237,jbo,,lojb1234,Q36350,Lojban,79,Latn,Latin,jbo-latn,Lojban (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
238,mwl,,mira1251,Q13330,Mirandese,78,Latn,Latin,mwl-latn,Mirandese (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
239,frp,,fran1269,Q15087,Arpitan language,78,Latn,Latin,frp-latn,Arpitan language (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
240,tso,ts,tson1249,Q34327,Tsonga,78,Latn,Latin,tso-latn,Tsonga (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
241,xal,,kalm1244,Q33634,Kalmyk,78,Cyrl,Cyrillic,xal-cyrl,Kalmyk (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
242,ett,,etru1241,Q35726,Etruscan,78,Ital,Old Italic,ett-ital,Etruscan (Old Italic),Ital,Old Italic,primary,cldr-default,needs-review,script-derived,needs-review,,,
243,tah,ty,tahi1242,Q34128,Tahitian,77,Latn,Latin,tah-latn,Tahitian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
244,ven,ve,vend1245,Q32704,Venda,77,Latn,Latin,ven-latn,Venda (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
245,tcy,,tulu1258,Q34251,Tulu,77,Knda,Kannada,tcy-knda,Tulu (Kannada),Knda,Kannada,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Kannada_alphabet,omniglot-langalph|worldswritingsystems|wikidata-p282
245,tcy,,tulu1258,Q34251,Tulu,77,Knda,Kannada,tcy-mlym,Tulu (Malayalam),Mlym,Malayalam,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
245,tcy,,tulu1258,Q34251,Tulu,77,Knda,Kannada,tcy-tutg,Tulu (Tulu-Tigalari),Tutg,Tulu-Tigalari,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
246,cha,ch,cham1312,Q33262,Chamorro,77,Latn,Latin,cha-latn,Chamorro (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
247,hak,,hakk1236,Q33375,Hakka Chinese,77,Hans,Simplified,hak-hans,Hakka Chinese (Simplified),Hans,Simplified,primary,cldr-default,needs-review,script-derived,needs-review,,,
247,hak,,hakk1236,Q33375,Hakka Chinese,77,Hans,Simplified,hak-hani,Hakka Chinese (Han),Hani,Han,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
248,kjh,,khak1248,Q33575,Khakas,77,Cyrl,Cyrillic,kjh-cyrl,Khakas (Cyrillic),Cyrl,Cyrillic,primary,omniglot-langalph+wws,needs-review,script-derived,needs-review,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems
249,ace,,achi1257,Q27683,Acehnese,76,Latn,Latin,ace-latn,Acehnese (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
250,gsw,,alem1243,Q131339,Alemannic,75,Latn,Latin,gsw-latn,Alemannic (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
251,war,,wara1300,Q34279,Waray,75,Latn,Latin,war-latn,Waray (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
251,war,,wara1300,Q34279,Waray,75,Latn,Latin,war-tglg,Waray (Tagalog),Tglg,Tagalog,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
252,hit,,hitt1242,Q35668,Hittite,75,Xsux,Sumero-Akkadian Cuneiform,hit-xsux,Hittite (Sumero-Akkadian Cuneiform),Xsux,Sumero-Akkadian Cuneiform,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cuneiform,omniglot-langalph|worldswritingsystems|wikidata-p282
253,mns,,,Q33759,Mansi,75,Cyrl,Cyrillic,mns-cyrl,Mansi (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
254,pcd,,pica1241,Q34024,Picard,74,Latn,Latin,pcd-latn,Picard (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
