rank,iso6393,iso6391,glottocode,qid,languageLabel,sitelinks,defaultScript,defaultScriptName,orthographyId,orthographyLabelEn,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,seedKind,verificationStatus,languageWikipediaUrl,scriptWikipediaUrl,evidenceSources
18,tur,tr,nucl1301,Q256,Turkish,246,Latn,Latin,tur-arab,Turkish (Arabic),Arab,Arabic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Arabic,omniglot-langalph|worldswritingsystems
18,tur,tr,nucl1301,Q256,Turkish,246,Latn,Latin,tur-grek,Turkish (Greek),Grek,Greek,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Greek_alphabet,omniglot-langalph|worldswritingsystems
19,ukr,uk,ukra1253,Q8798,Ukrainian,223,Cyrl,Cyrillic,ukr-cyrl,Ukrainian (Cyrillic),Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems|wikidata-p282
20,fin,fi,finn1318,Q1412,Finnish,222,Latn,Latin,fin-latn,Finnish (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
21,kor,ko,kore1280,Q9176,Korean,218,Kore,Korean,kor-kore,Korean (Korean),Kore,Korean,primary,cldr-default,needs-review,script-derived,needs-review,,,
21,kor,ko,kore1280,Q9176,Korean,218,Kore,Korean,kor-hang,Korean (Hangul),Hang,Hangul,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Hangul,omniglot-langalph|worldswritingsystems|wikidata-p282
21,kor,ko,kore1280,Q9176,Korean,218,Kore,Korean,kor-hani,Korean (Chinese characters),Hani,Chinese characters,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Chinese_characters,omniglot-langalph|worldswritingsystems
22,san,sa,sans1269,Q11059,Sanskrit,216,Deva,Devanagari,san-deva,Sanskrit (Devanagari),Deva,Devanagari,primary,cldr-default+wikidata,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Devanagari,omniglot-langalph|worldswritingsystems|wikidata-p282
22,san,sa,sans1269,Q11059,Sanskrit,216,Deva,Devanagari,san-guru,Sanskrit (Gurmukhi),Guru,Gurmukhi,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Gurmukhi,omniglot-langalph|worldswritingsystems
22,san,sa,sans1269,Q11059,Sanskrit,216,Deva,Devanagari,san-knda,Sanskrit (Kannada),Knda,Kannada,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
22,san,sa,sans1269,Q11059,Sanskrit,216,Deva,Devanagari,san-nand,Sanskrit (Nandinagari),Nand,Nandinagari,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
22,san,sa,sans1269,Q11059,Sanskrit,216,Deva,Devanagari,san-phag,Sanskrit (ʼPhags-pa),Phag,ʼPhags-pa,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/%27Phags-pa_script,omniglot-langalph|worldswritingsystems
22,san,sa,sans1269,Q11059,Sanskrit,216,Deva,Devanagari,san-shrd,Sanskrit (Sharada),Shrd,Sharada,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Sharada_script,omniglot-langalph|worldswritingsystems|wikidata-p282
22,san,sa,sans1269,Q11059,Sanskrit,216,Deva,Devanagari,san-sidd,Sanskrit (Siddham),Sidd,Siddham,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
22,san,sa,sans1269,Q11059,Sanskrit,216,Deva,Devanagari,san-soyo,Sanskrit (Soyombo),Soyo,Soyombo,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Soyombo_alphabet,omniglot-langalph|worldswritingsystems
22,san,sa,sans1269,Q11059,Sanskrit,216,Deva,Devanagari,san-thai,Sanskrit (Thai),Thai,Thai,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,,https://en.wikipedia.org/wiki/Thai_alphabet,omniglot-langalph|worldswritingsystems
23,ces,cs,czec1258,Q9056,Czech,216,Latn,Latin,ces-latn,Czech (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
24,cat,ca,stan1289,Q7026,Catalan,215,Latn,Latin,cat-latn,Catalan (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
25,dan,da,dani1285,Q9035,Danish,210,Latn,Latin,dan-latn,Danish (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
